Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s4 , GA , 1 , 8 , 1 , 0.5 , 0 , 75.61 , 98.37 , 2457.351 , 2423.058 , 307.1689 , 302.8823 , 306.4045 , 290.7019 , 37.46 , 22.35 , 0.05 , 28.01 , 372.773
s4 , GenSA , 0 , 10 , 1 , 0.5 , 0 , 67.29 , 98.49 , 3112.844 , 2439.563 , 311.2844 , 243.9563 , 329.6332 , 258.3295 , 51.66 , 23.75 , 0.13 , 23.26 , 201.475
s4 , GenSA , 0 , 12 , 1 , 0.5 , 0 , 73.98 , 98.76 , 3518.392 , 2943.879 , 293.1993 , 245.3233 , 301.786 , 240.7598 , 40.03 , 28.83 , 0.08 , 35.46 , 192.889
s4 , GenSA , 0 , 2 , 1 , 0.5 , 0 , 21.94 , 39.56 , 475.5999 , 493.4203 , 237.8 , 246.7102 , 237.8 , 246.7102 , 78.44 , 0.87 , 0 , 0.39 , 710.776
s4 , GenSA , 0 , 4 , 1 , 0.5 , 0 , 57.24 , 76.14 , 1322.591 , 1185.03 , 330.6476 , 296.2576 , 335.7056 , 296.3428 , 36.72 , 2.71 , 0.04 , 2.49 , 1001.651
s4 , GenSA , 0 , 6 , 1 , 0.5 , 0 , 69.59 , 96.12 , 1760.005 , 1812.892 , 293.3342 , 302.1487 , 287.3185 , 307.2284 , 45.97 , 9.78 , 0.04 , 15.24 , 1002.134
s4 , GenSA , 0 , 8 , 1 , 0.5 , 0 , 75.61 , 98.32 , 2457.351 , 2178.361 , 307.1689 , 272.2951 , 306.4045 , 278.3201 , 37.46 , 19.24 , 0.05 , 17.7 , 1001.921
s4 , GenSA , 1 , 10 , 1 , 0.5 , 0 , 67.29 , 99.26 , 3112.844 , 2520.761 , 311.2844 , 252.0761 , 329.6332 , 262.8832 , 51.66 , 22.74 , 0.13 , 20.67 , 604.635
s4 , GenSA , 1 , 12 , 1 , 0.5 , 0 , 73.98 , 97.18 , 3518.392 , 2755.304 , 293.1993 , 229.6086 , 301.786 , 234.5432 , 40.03 , 14.16 , 0.08 , 33.78 , 174.486
s4 , GenSA , 1 , 2 , 1 , 0.5 , 0 , 21.94 , 39.56 , 475.5999 , 493.2119 , 237.8 , 246.606 , 237.8 , 246.606 , 78.44 , 0.87 , 0 , 0.39 , 711.265
s4 , GenSA , 1 , 4 , 1 , 0.5 , 0 , 57.24 , 76.16 , 1322.591 , 1185.265 , 330.6476 , 296.3162 , 335.7056 , 295.8478 , 36.72 , 2.76 , 0.04 , 2.43 , 1001.125
s4 , GenSA , 1 , 6 , 1 , 0.5 , 0 , 69.59 , 96.09 , 1760.005 , 1813.751 , 293.3342 , 302.2918 , 287.3185 , 301.8078 , 45.97 , 9.31 , 0.04 , 15.75 , 1000.765
s4 , GenSA , 1 , 8 , 1 , 0.5 , 0 , 75.61 , 98.7 , 2457.351 , 2218.197 , 307.1689 , 277.2746 , 306.4045 , 272.3105 , 37.46 , 21.92 , 0.05 , 20.84 , 1000.842
s4 , DEoptim , 0 , 10 , 1 , 0.5 , 0 , 67.29 , 98.03 , 3112.844 , 2690.566 , 311.2844 , 269.0566 , 329.6332 , 280.6728 , 51.66 , 30.53 , 0.13 , 22.78 , 742.622
s4 , DEoptim , 0 , 12 , 1 , 0.5 , 0 , 73.98 , 97.09 , 3518.392 , 2860.62 , 293.1993 , 238.385 , 301.786 , 249.7786 , 40.03 , 23.02 , 0.08 , 32.42 , 1296.589
s4 , DEoptim , 0 , 2 , 1 , 0.5 , 0 , 21.94 , 39.56 , 475.5999 , 493.0861 , 237.8 , 246.543 , 237.8 , 246.543 , 78.44 , 0.87 , 0 , 0.39 , 30.899
s4 , DEoptim , 0 , 4 , 1 , 0.5 , 0 , 57.24 , 76.1 , 1322.591 , 1187.73 , 330.6476 , 296.9324 , 335.7056 , 296.9465 , 36.72 , 3.21 , 0.04 , 2.05 , 197.45
s4 , DEoptim , 0 , 6 , 1 , 0.5 , 0 , 69.59 , 95.02 , 1760.005 , 1807.892 , 293.3342 , 301.3153 , 287.3185 , 300.4862 , 45.97 , 14.58 , 0.04 , 11.41 , 416.639
s4 , DEoptim , 0 , 8 , 1 , 0.5 , 0 , 75.61 , 96.14 , 2457.351 , 2120.46 , 307.1689 , 265.0575 , 306.4045 , 273.3816 , 37.46 , 18.44 , 0.05 , 21.9 , 694.711
